NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6569,3.8362,3.9745,4.3625,4.332,4.1524,3.8361,3.892,3.8159,3.9017,3.9546,3.877,NaN,NaN,3.5088,3.4544,3.2003,3.4828,3.8378,4.4144,4.7601,4.8931,4.5136,4.6606,4.8141,4.8995,4.6352,4.4123,3.9966,3.6833,3.4869,3.4317,3.4683,3.5398,3.9555,3.8506,NaN,NaN,3.4116,3.5686,3.6881,3.5966,3.6475,4.3102,4.7324,4.9829,4.8188,4.3528,4.3939,4.3903,4.049,3.5376,3.3871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6553,3.7596,3.971,4.0589,3.9954,3.6575,3.6687,3.6433,3.7899,3.9834,4.2501,4.2241,NaN,NaN,3.7316,3.2112,3.4578,3.6245,3.2901,4.2913,4.7962,5.0693,3.9348,4.6666,5.2877,5.3684,5.38,4.8304,4.3152,3.7237,3.3181,3.2834,3.4571,3.6148,3.7657,4.2946,NaN,NaN,3.4452,3.5277,3.5678,3.5887,4.5399,4.4793,4.7976,5.3125,4.2844,4.3265,4.6631,4.8195,4.674,4.1385,3.726,3.3189,NaN,NaN,NaN,NaN,NaN,3.2545,NaN,NaN,NaN,NaN,NaN,NaN,3.4491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5319,4.21,4.5992,4.0447,NaN,NaN,NaN,NaN,NaN,3.7827,3.7062,3.6714,3.7924,3.8468,3.5118,NaN,3.2053,3.6643,4.0831,4.3137,4.3916,4.5569,3.2676,3.3781,4.5675,5.1543,5.3859,4.9305,3.9043,3.8117,4.8078,5.2445,4.6014,5.346,5.769,5.845,5.825,5.3723,4.1731,3.8146,3.6564,3.4613,3.7371,3.929,3.9055,4.4144,3.4025,NaN,3.44,3.4882,3.3465,4.5388,5.3689,5.3929,5.688,5.7897,4.5369,4.5762,5.0479,5.013,4.8878,4.6642,4.0009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5774,3.9991,4.2707,3.91,3.658,3.5084,3.4384,3.3657,NaN,NaN,NaN,3.2881,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,3.3082,3.7446,4.3653,4.4454,4.4101,4.4495,4.6878,5.0859,5.4305,5.3916,3.8733,NaN,NaN,NaN,4.2684,4.6289,4.3355,4.0381,3.9328,4.0126,NaN,3.2519,3.4588,4.2091,4.6334,5.0517,5.2537,5.1742,5.1709,5.4331,5.9542,6.152,6.1348,6.0527,4.8448,3.9696,4.7476,4.7315,5.5945,6.0479,6.2011,6.1898,6.0911,5.7296,4.1584,3.5111,3.9239,4.2505,4.3098,4.394,4.5103,4.2576,3.8481,3.7383,3.5845,3.5273,4.1306,4.8529,5.6872,5.9821,6.1763,5.9295,5.3995,5.3757,5.57,5.6339,5.3004,4.9308,4.6189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2874,NaN,3.58,3.9495,4.4183,4.4033,4.1694,4.1302,4.138,4.0919,3.9978,3.9209,3.6168,3.724,3.7788,NaN,NaN,NaN
3.511,3.211,NaN,3.3518,3.5092,3.8183,3.9689,4.1015,4.3046,4.7044,5.2552,5.7228,5.513,5.2821,5.5432,5.3344,4.0034,4.3803,5.4329,5.2187,4.9756,4.7888,4.4957,4.4702,4.1287,NaN,4.3247,4.9667,5.4995,5.9641,6.3434,6.3907,6.3195,6.5285,7.0736,7.2597,6.4734,6.0202,6.3638,6.5375,5.9171,6.1056,6.7657,6.9856,6.855,6.4201,5.9184,5.6391,4.892,3.2214,3.85,5.1565,5.2092,4.7906,5.1374,4.9907,4.2589,4.3492,4.2622,4.9507,4.9428,5.1128,5.4233,6.189,6.8026,6.7386,6.3519,6.3291,6.2618,6.0493,5.7416,5.2425,4.6686,3.8497,3.2195,3.825,3.3842,NaN,NaN,NaN,NaN,NaN,NaN,3.206,3.65,3.9406,4.0978,4.5457,4.731,4.7099,4.6121,4.394,4.3179,4.2945,4.2572,3.9422,3.9848,4.0889,3.7565,3.6926
4.4141,4.1654,3.9112,3.8419,3.8374,3.9119,3.8897,4.0641,4.3495,4.8541,5.3398,5.5068,5.3077,5.3923,5.5681,5.6772,6.0622,3.3808,5.3256,5.8525,4.9667,4.3483,4.2753,4.7307,3.7696,4.6174,5.0342,5.4708,6.0681,6.4892,6.8809,7.1526,6.9252,7.0716,7.8995,7.6885,6.805,6.4213,6.5603,7.0737,7.9794,5.6884,6.6937,7.5359,7.0791,6.2947,5.506,5.4186,4.1424,4.1107,4.1571,4.8106,5.5403,4.8496,5.1844,4.8695,4.6677,4.3559,4.9859,5.7301,4.9989,5.6003,6.0436,6.5211,7.347,7.5845,7.1839,7.3468,7.2405,6.7156,6.2254,5.7035,5.0749,4.312,3.7199,3.3086,3.7792,NaN,NaN,NaN,NaN,NaN,NaN,3.219,NaN,4.0475,4.5002,4.689,5.0204,5.2589,5.2502,4.9682,4.8505,4.7731,4.9506,4.7092,4.4113,4.1743,4.2794,4.3137
4.1904,4.3185,4.7233,4.8486,4.8326,4.5413,4.4034,4.3298,4.5095,4.8513,5.216,5.2876,5.286,5.5225,5.7419,6.5647,7.0581,6.9969,5.5041,5.1788,4.7894,4.3455,3.898,3.5088,4.5148,5.2662,6.1106,6.4278,6.8245,7.03,7.2943,7.4493,7.3491,6.8313,7.1763,7.8741,7.1026,6.7659,6.752,7.696,8.6791,7.7148,6.4638,6.6241,6.1645,5.7782,5.0398,4.4874,4.8133,4.652,4.6734,5.1156,5.3717,4.8918,5.0727,4.8038,4.7519,4.269,5.5868,6.1502,5.6491,5.9076,6.178,6.9024,7.8214,7.1514,7.3039,7.7856,7.5083,7.1405,6.706,6.2111,5.4975,4.9788,4.0554,3.6075,3.455,NaN,NaN,NaN,NaN,NaN,3.4412,3.4237,3.5397,4.1288,4.6289,5.0196,5.5643,5.8584,5.8386,5.7688,5.6588,5.5932,5.6581,5.6972,5.3574,5.0434,4.5732,4.0685
4.885,4.8157,4.4139,4.6199,4.9077,4.9206,4.6609,4.6246,4.7239,4.9538,5.1122,5.3205,5.842,6.1157,6.3235,6.5192,7.7805,6.4929,4.9462,4.2979,4.2946,4.8655,5.163,5.0602,5.1875,5.4057,5.473,5.9589,6.4304,6.4857,6.9408,7.1826,7.1123,6.4972,6.3521,6.81,7.3321,7.2416,7.1419,6.8526,7.6075,6.4849,5.5249,5.4408,5.0925,5.1996,5.0357,4.9857,4.708,4.7794,4.6113,4.97,5.2352,4.5777,4.8185,4.5704,4.4693,4.0842,4.8421,5.4191,5.9937,6.6242,6.7605,6.6577,6.4045,6.4233,7.1883,7.4227,6.6093,6.6339,6.3376,6.3032,5.6426,4.3644,3.8731,3.7409,3.6214,3.2153,NaN,NaN,NaN,NaN,3.5173,3.9054,4.1469,5.0159,5.3882,5.6367,5.9112,6.148,6.4137,6.2699,5.8559,5.8477,6.127,6.1501,5.6982,5.3167,5.2838,4.9423
7.0116,6.6106,5.9921,5.1022,4.904,4.7458,4.5492,4.3937,3.9938,4.7478,5.1433,5.569,5.9906,6.2881,6.624,6.465,6.4786,5.3618,4.6981,4.5828,4.6945,5.601,5.728,6.3435,6.4375,6.4015,6.1614,5.7103,5.5665,5.7759,6.0166,5.3235,5.9599,6.2292,6.1403,6.4836,7.1154,7.4672,7.438,6.425,6.1951,5.3276,5.1747,4.572,3.9541,4.6034,4.3288,4.7813,4.8446,4.8334,4.5872,4.6306,4.6266,4.1106,4.2809,3.2058,3.8261,4.3208,4.6553,6.2841,7.2077,7.4489,7.2333,6.1061,5.7318,5.8991,6.5158,5.6254,5.0087,5.538,5.9523,6.1621,6.219,5.9898,4.9502,4.9547,4.9701,3.9882,3.5431,NaN,NaN,NaN,3.4404,4.8516,4.9832,5.717,6.1209,6.1309,5.9436,6.0276,6.0061,5.168,5.0638,5.3645,6.1297,6.8116,7.2894,7.6598,7.3428,7.1939
7.7491,6.8505,5.8973,5.2378,5.0177,4.7794,4.4776,4.177,4.0375,4.4145,4.8224,5.3323,5.7419,6.0706,5.7903,5.4183,5.574,5.012,4.5016,4.5697,4.3068,4.6945,5.8434,6.4396,6.7082,6.8454,6.5534,5.7941,5.6016,5.6758,5.5893,4.9621,4.9993,4.8381,5.4611,5.8665,6.4889,6.7808,5.7671,5.4722,5.4525,5.0643,4.2689,3.9456,3.6027,3.8938,4.4822,4.6738,4.6961,4.9411,4.8992,4.6362,4.4974,4.0631,3.8352,3.3174,NaN,3.3708,5.0749,6.542,7.3238,7.4878,6.5691,5.7042,5.0705,5.0646,4.8072,4.6372,4.5944,5.0848,5.7081,6.1089,6.3801,6.7599,6.3867,5.9316,5.488,4.2359,NaN,NaN,NaN,NaN,3.8064,4.9993,5.3167,6.1542,6.3938,6.1543,5.8804,5.6488,5.1894,4.6164,4.5039,4.8986,5.8084,6.6588,7.1299,7.7438,8.0125,8.0026
